species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313313	EBG00000313313-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313314	EBG00000313314-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313315	EBG00000313315-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313316	EBG00000313316-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313317	EBG00000313317-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313318	EBG00000313318-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313319	EBG00000313319-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313320	EBG00000313320-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313321	EBG00000313321-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313322	EBG00000313322-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313323	EBG00000313323-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313324	EBG00000313324-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313325	EBG00000313325-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313326	EBG00000313326-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313327	EBG00000313327-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313328	EBG00000313328-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313329	EBG00000313329-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313330	EBG00000313330-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313331	EBG00000313331-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313332	EBG00000313332-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313333	EBG00000313333-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313334	EBG00000313334-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313335	EBG00000313335-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313336	EBG00000313336-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313337	EBG00000313337-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313338	EBG00000313338-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313339	EBG00000313339-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313340	EBG00000313340-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313341	EBG00000313341-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313342	EBG00000313342-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313343	EBG00000313343-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313344	EBG00000313344-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313345	EBG00000313345-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313346	EBG00000313346-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313347	EBG00000313347-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313348	EBG00000313348-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313349	EBG00000313349-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313350	EBG00000313350-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313351	EBG00000313351-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313352	EBG00000313352-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313353	EBG00000313353-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313354	EBG00000313354-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313355	EBG00000313355-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313356	EBG00000313356-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313357	EBG00000313357-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313358	EBG00000313358-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313359	EBG00000313359-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313360	EBG00000313360-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313361	EBG00000313361-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313362	EBG00000313362-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313363	EBG00000313363-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313364	EBG00000313364-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313365	EBG00000313365-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313366	EBG00000313366-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313367	EBG00000313367-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313368	EBG00000313368-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313369	EBG00000313369-1		AL123456	
Mycobacterium_tuberculosis_h37rv	83332	EBG00000313370	EBG00000313370-1		AL123456	
