Location	Strand	Length	PID	lenght		Gene	Synonym	COG	sanger_anot	Possible DR/phage/PEPPE?	essential?	Annotation
33582..33794	33582	33794	+	70	15607173	-	Rv0031	-	 IV.B.1	phage	nonessential	remnant of A transposase
103710..104663	103710	104663	-	317	15607236	-	Rv0094c	-	 V	repeat13E12	nonessential	hypothetical protein
104805..105215	104805	105215	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein
105324..106715	105324	106715	+	463	57116689	PPE1	Rv0096	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
131382..132872	131382	132872	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
149533..150996	149533	150996	+	487	57116692	PE_PGRS2	Rv0124	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
177543..179309	177543	179309	-	588	57116694	PE1	Rv0151c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
179319..180896	179319	180896	-	525	57116695	PE2	Rv0152c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
187433..188839	187433	188839	-	468	57116696	PE3	Rv0159c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
188931..190439	188931	190439	-	502	57116697	PE4	Rv0160c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
307877..309547	307877	309547	-	556	57116708	PPE2	Rv0256c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
333437..336310	333437	336310	-	957	57116712	PE_PGRS3	Rv0278c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
336560..339073	336560	339073	-	837	57116713	PE_PGRS4	Rv0279c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
339364..340974	339364	340974	+	536	57116714	PPE3	Rv0280	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
349624..349932	349624	349932	+	102	57116715	PE5	Rv0285	-	 IV.C.1	PE/PPE/PGRS	essential	PE family protein
349935..351476	349935	351476	+	513	57116716	PPE4	Rv0286	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
361334..363109	361334	363109	+	591	57116718	PE_PGRS5	Rv0297	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
366150..372764	366150	372764	-	2204	57116719	PPE5	Rv0304c	COG1357S	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
372820..375711	372820	375711	-	963	57116720	PPE6	Rv0305c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
399535..400050	399535	400050	-	171	57116722	PE6	Rv0335c	-	 IV.C.1	PE/PPE/PGRS	essential	PE family protein
400192..401703	400192	401703	+	503	15607477	-	Rv0336	-	 VI	repeat13E12	nonessential	13E12 repeat family protein
424269..424694	424269	424694	-	141	57116725	PPE7	Rv0354c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
424777..434679	424777	434679	-	3300	57116726	PPE8	Rv0355c	COG1357S	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
466672..467406	466672	467406	-	244	15607528	-	Rv0387c	-	 V	PE/PPE/PGRS	nonessential	PPE family protein
467459..468001	467459	468001	-	180	57116729	PPE9	Rv0388c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
472781..474106	472781	474106	+	441	15607534	-	Rv0393	-	 VI	repeat13E12	nonessential	13E12 repeat family protein
475816..476184	475816	476184	+	122	15607538	-	Rv0397	-	 VI	repeat13E12	nonessential	13E12 repeat family protein
530751..532214	530751	532214	-	487	57116731	PPE10	Rv0442c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
543174..544730	543174	544730	+	518	57116732	PPE11	Rv0453	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
