dnaA	Rv0001	0	1524	+
dnaN	Rv0002	2051	3260	+
recF	Rv0003	3279	4437	+
Rv0004	Rv0004	4433	4997	+
gyrB	Rv0005	5239	7267	+
gyrA	Rv0006	7301	9818	+
Rv0007	Rv0007	9913	10828	+
Rv0008c	Rv0008c	11873	12311	-
ppiA	Rv0009	12467	13016	+
Rv0010c	Rv0010c	13132	13558	-
Rv0011c	Rv0011c	13713	13995	-
Rv0012	Rv0012	14088	14877	+
trpG	Rv0013	14913	15612	+
pknB	Rv0014c	15589	17470	-
pknA	Rv0015c	17466	18762	-
pbpA	Rv0016c	18758	20234	-
rodA	Rv0017c	20230	21640	-
pstP	Rv0018c	21636	23181	-
fhaB	Rv0019c	23269	23737	-
fhaA	Rv0020c	23860	25444	-
Rv0021c	Rv0021c	25912	26881	-
whiB5	Rv0022c	27022	27442	-
Rv0023	Rv0023	27594	28365	+
Rv0024	Rv0024	28361	29207	+
Rv0025	Rv0025	29244	29607	+
Rv0026	Rv0026	29721	31068	+
Rv0027	Rv0027	31188	31506	+
Rv0028	Rv0028	31513	31819	+
Rv0029	Rv0029	32056	33154	+
Rv0030	Rv0030	33223	33553	+
bioF2	Rv0032	34294	36610	+
acpA	Rv0033	36606	36870	+
Rv0034	Rv0034	36866	37262	+
fadD34	Rv0035	37258	38947	+
Rv0036c	Rv0036c	39055	39829	-
Rv0037c	Rv0037c	39876	41202	-
Rv0038	Rv0038	41303	41912	+
Rv0039c	Rv0039c	42003	42351	-
mtc28	Rv0040c	42432	43365	-
leuS	Rv0041	43561	46471	+
Rv0042c	Rv0042c	46580	47207	-
Rv0043c	Rv0043c	47365	48100	-
Rv0044c	Rv0044c	48232	49027	-
Rv0045c	Rv0045c	49042	49939	-
ino1	Rv0046c	50020	51124	-
Rv0047c	Rv0047c	51184	51727	-
Rv0048c	Rv0048c	51827	52697	-
Rv0049	Rv0049	52830	53244	+
ponA1	Rv0050	53662	55699	+
Rv0051	Rv0051	55695	57378	+
Rv0052	Rv0052	57409	57973	+
rpsF	Rv0053	58191	58482	+
ssb	Rv0054	58585	59080	+
rpsR1	Rv0055	59121	59376	+
rplI	Rv0056	59408	59867	+
Rv0057	Rv0057	59895	60417	+
dnaB	Rv0058	60395	63020	+
Rv0059	Rv0059	63199	63892	+
Rv0060	Rv0060	63908	64967	+
Rv0061c	Rv0061c	65011	65350	-
celA1	Rv0062	65551	66694	+
Rv0063	Rv0063	66922	68362	+
Rv0063a	Rv0063a	68417	68579	+
Rv0064	Rv0064	68619	71559	+
vapB1	Rv0064A	71588	71828	+
vapC1	Rv0065	71820	72222	+
icd2	Rv0066c	72273	74511	-
Rv0067c	Rv0067c	74628	75198	-
Rv0068	Rv0068	75300	76212	+
sdaA	Rv0069c	76236	77622	-
glyA2	Rv0070c	77618	78896	-
Rv0071	Rv0071	79485	80193	+
Rv0072	Rv0072	80623	81673	+
Rv0073	Rv0073	81675	82668	+
Rv0074	Rv0074	82747	83983	+
Rv0075	Rv0075	83995	85168	+
Rv0076c	Rv0076c	85182	85572	-
Rv0077c	Rv0077c	85635	86466	-
Rv0078	Rv0078	86527	87133	+
Rv0078A	Rv0078A	87207	87801	-
Rv0078B	Rv0078B	87797	88004	-
Rv0079	Rv0079	88203	89025	+
Rv0080	Rv0080	89021	89480	+
Rv0081	Rv0081	89574	89919	+
Rv0082	Rv0082	89923	90403	+
Rv0083	Rv0083	90399	92322	+
hycD	Rv0084	92327	93278	+
hycP	Rv0085	93288	93951	+
hycQ	Rv0086	93950	95417	+
hycE	Rv0087	95413	96892	+
Rv0088	Rv0088	96926	97601	+
Rv0089	Rv0089	97757	98351	+
Rv0090	Rv0090	98479	99250	+
mtn	Rv0091	99683	100451	+
ctpA	Rv0092	100582	102868	+
Rv0093c	Rv0093c	102814	103663	-
Rv0094c	Rv0094c	103709	104663	-
Rv0095c	Rv0095c	104804	105215	-
PPE1	Rv0096	105323	106715	+
Rv0097	Rv0097	106733	107603	+
fcoT	Rv0098	107599	108151	+
fadD10	Rv0099	108155	109778	+
Rv0100	Rv0100	109782	110019	+
nrp	Rv0101	110000	117539	+
Rv0102	Rv0102	117713	119699	+
ctpB	Rv0103c	119914	122173	-
Rv0104	Rv0104	122316	123831	+
rpmB1	Rv0105c	123979	124264	-
Rv0106	Rv0106	124373	125570	+
ctpI	Rv0107c	125642	130541	-
Rv0108c	Rv0108c	130894	131104	-
PE_PGRS1	Rv0109	131381	132872	+
Rv0110	Rv0110	133019	133769	+
Rv0111	Rv0111	133949	136007	+
gca	Rv0112	136288	137245	+
gmhA	Rv0113	137318	137909	+
gmhB	Rv0114	137940	138513	+
hddA	Rv0115	138512	139673	+
Rv0115a	Rv0115a	139955	140144	+
ldtA	Rv0116c	140266	141022	-
oxyS	Rv0117	141199	142144	+
oxcA	Rv0118c	142127	143876	-
fadD7	Rv0119	144048	145626	+
fusA2	Rv0120c	145626	147771	-
Rv0121c	Rv0121c	147907	148342	-
Rv0122	Rv0122	148490	148859	+
Rv0123	Rv0123	148855	149224	+
PE_PGRS2	Rv0124	149532	150996	+
pepA	Rv0125	151147	152215	+
treS	Rv0126	152323	154129	+
mak	Rv0127	154231	155599	+
Rv0128	Rv0128	155666	156446	+
fbpC	Rv0129c	156577	157600	-
htdZ	Rv0130	157846	158302	+
fadE1	Rv0131c	158314	159658	-
fgd2	Rv0132c	159699	160782	-
Rv0133	Rv0133	160868	161474	+
ephF	Rv0134	161770	162673	+
Rv0135c	Rv0135c	162643	163249	-
cyp138	Rv0136	163365	164691	+
msrA	Rv0137c	164711	165260	-
Rv0138	Rv0138	165322	165826	+
Rv0139	Rv0139	165826	166849	+
Rv0140	Rv0140	166909	167290	+
Rv0141c	Rv0141c	167270	167681	-
Rv0142	Rv0142	167710	168637	+
Rv0143c	Rv0143c	168703	170182	-
Rv0144	Rv0144	170283	171126	+
Rv0145	Rv0145	171214	172168	+
Rv0146	Rv0146	172210	173143	+
Rv0147	Rv0147	173237	174758	+
Rv0148	Rv0148	174832	175693	+
Rv0149	Rv0149	175699	176668	+
Rv0150c	Rv0150c	176664	176952	-
PE1	Rv0151c	177542	179309	-
PE2	Rv0152c	179318	180896	-
ptbB	Rv0153c	181154	181985	-
fadE2	Rv0154c	181986	183198	-
pntAa	Rv0155	183621	184722	+
pntAb	Rv0156	184722	185055	+
pntB	Rv0157	185051	186479	+
Rv0157A	Rv0157A	186494	186623	-
Rv0158	Rv0158	186784	187429	+
PE3	Rv0159c	187432	188839	-
PE4	Rv0160c	188930	190439	-
Rv0161	Rv0161	190606	191956	+
adhE1	Rv0162c	191983	193135	-
Rv0163	Rv0163	193116	193572	+
TB18.5	Rv0164	193625	194111	+
mce1R	Rv0165c	194143	194815	-
fadD5	Rv0166	194992	196657	+
yrbE1A	Rv0167	196860	197658	+
yrbE1B	Rv0168	197659	198529	+
mce1A	Rv0169	198533	199898	+
mce1B	Rv0170	199894	200935	+
mce1C	Rv0171	200931	202479	+
mce1D	Rv0172	202475	204068	+
lprK	Rv0173	204064	205237	+
mce1F	Rv0174	205230	206778	+
Rv0175	Rv0175	206813	207455	+
Rv0176	Rv0176	207451	208420	+
Rv0177	Rv0177	208416	208971	+
Rv0178	Rv0178	208937	209672	+
lprO	Rv0179c	209702	210812	-
Rv0180c	Rv0180c	210891	212250	-
Rv0181c	Rv0181c	212276	213011	-
sigG	Rv0182c	213027	214140	-
Rv0183	Rv0183	214087	214927	+
Rv0184	Rv0184	214968	215718	+
Rv0185	Rv0185	215714	216224	+
bglS	Rv0186	216268	218344	+
mymT	Rv0186A	218389	218551	-
Rv0187	Rv0187	218704	219367	+
Rv0188	Rv0188	219485	219917	+
ilvD	Rv0189c	219995	221723	-
Rv0190	Rv0190	221870	222161	+
Rv0191	Rv0191	222288	223530	+
Rv0192	Rv0192	223563	224664	+
Rv0193c	Rv0193c	224723	226571	-
