Strand 	 Length
33582 	 33794
103710 	 104663
104805 	 105215
105324 	 106715
131382 	 132872
149533 	 150996
177543 	 179309
179319 	 180896
187433 	 188839
188931 	 190439
307877 	 309547
333437 	 336310
336560 	 339073
339364 	 340974
349624 	 349932
349935 	 351476
361334 	 363109
366150 	 372764
372820 	 375711
399535 	 400050
400192 	 401703
424269 	 424694
424777 	 434679
466672 	 467406
467459 	 468001
472781 	 474106
475816 	 476184
530751 	 532214
543174 	 544730
606551 	 608062
622793 	 624577
671996 	 675916
832534 	 832848
832981 	 833508
835701 	 838052
838451 	 840856
846159 	 847913
848103 	 850040
850342 	 850527
889072 	 889398
889395 	 890333
890388 	 891482
924951 	 925364
925361 	 927610
927837 	 930485
947312 	 947644
968424 	 970244
976872 	 978203
1020058 	 1021329
1021344 	 1021643
1025497 	 1026816
1027104 	 1027685
1027685 	 1029337
1090373 	 1093144
1093361 	 1094356
1095078 	 1096451
1158918 	 1159307
1159375 	 1160061
1161297 	 1162472
1162549 	 1163376
1164572 	 1165435
1165092 	 1165499
1169423 	 1170670
1176928 	 1177242
1188421 	 1190424
1190757 	 1192148
1211560 	 1213863
1214513 	 1214947
1214769 	 1215131
1216469 	 1219030
1251617 	 1252972
1262272 	 1264128
1276300 	 1277748
1277893 	 1278300
1298764 	 1299804
1299822 	 1300124
1301755 	 1302681
1339003 	 1339302
1339349 	 1340524
1341358 	 1342605
1357293 	 1357625
1384989 	 1386677
1468171 	 1469505
1488154 	 1489965
1532443 	 1533633
1541994 	 1542878
1542929 	 1543255
1561464 	 1561772
1561769 	 1563388
1572127 	 1573857
1606386 	 1607972
1618209 	 1619684
1630638 	 1634627
1636004 	 1638229
1655609 	 1656721
1751297 	 1753333
1779194 	 1779298
1779314 	 1779724
1779930 	 1780241
1780199 	 1780699
1780643 	 1782064
1782072 	 1782584
1782758 	 1783228
1783309 	 1783623
1783620 	 1783892
1783906 	 1784301
1784497 	 1785912
1785912 	 1786310
1786307 	 1786528
1786584 	 1787099
1787096 	 1788505
1788162 	 1789163
1789168 	 1789836
1855764 	 1856696
1862347 	 1865382
1931497 	 1932654
1932694 	 1933878
1981614 	 1984775
1987745 	 1988629
1988680 	 1989006
1989833 	 1992577
1996152 	 1996478
1996529 	 1997413
1999142 	 1999357
2000614 	 2002470
2025301 	 2026398
2026477 	 2026776
2026790 	 2027971
2028425 	 2029477
2029904 	 2030203
2039453 	 2041420
2042001 	 2043272
2043384 	 2044775
2044923 	 2046842
2048072 	 2048371
2048398 	 2049597
2049921 	 2051150
2051282 	 2052688
2061178 	 2062674
2087971 	 2089518
2162932 	 2167311
2167649 	 2170612
2195989 	 2197353
2226244 	 2227920
2260665 	 2261144
2261098 	 2261688
2358389 	 2360041
2365465 	 2365791
2365788 	 2366726
2367359 	 2367655
2367711 	 2368442
2381071 	 2382492
2387202 	 2387972
2423240 	 2424838
2430159 	 2431199
2431094 	 2431420
2439282 	 2439947
2550065 	 2550391
2550388 	 2551326
2600731 	 2601879
2617667 	 2618908
2632923 	 2634098
2634528 	 2635592
2635628 	 2635954
2635951 	 2636889
2637688 	 2639535
2651753 	 2651938
2692799 	 2693884
2706017 	 2706736
2720776 	 2721777
2727336 	 2727920
2727967 	 2728266
2784657 	 2785697
2785592 	 2785918
2795301 	 2797385
2801254 	 2806236
2828556 	 2829803
2835785 	 2837263
2921551 	 2923182
2935046 	 2936788
2943600 	 2944985
2960105 	 2962441
2970551 	 2971549
2972160 	 2972486
2972435 	 2973421
2973795 	 2975234
2975242 	 2975775
2975928 	 2976554
2976586 	 2976909
2976989 	 2977234
2977231 	 2978658
2978660 	 2979052
2979049 	 2979309
2979326 	 2979688
2979691 	 2980818
2983071 	 2983874
3053914 	 3055491
3076894 	 3078078
3078158 	 3078985
3079309 	 3080457
3100202 	 3101581
3115741 	 3116142
3116818 	 3118227
3120566 	 3121504
3121501 	 3121827
3162268 	 3164115
3194166 	 3195548
3200794 	 3202020
3288464 	 3289705
3289705 	 3290235
3289790 	 3290506
3313283 	 3313672
3333785 	 3335164
3376939 	 3378243
3378329 	 3378415
3379376 	 3380452
3380440 	 3380682
3380679 	 3380993
3381375 	 3382622
3465778 	 3467091
3481451 	 3482698
3490476 	 3491651
3501334 	 3501732
3501794 	 3502936
3510088 	 3511317
3527391 	 3529163
3551281 	 3551607
3551604 	 3552542
3552764 	 3553090
3553087 	 3554025
3557311 	 3558345
3710433 	 3710759
3710756 	 3711694
3711749 	 3713461
3729364 	 3736935
3736984 	 3738438
3738158 	 3742774
3743711 	 3753184
3753765 	 3754256
3754293 	 3755033
3755952 	 3767102
3778568 	 3780334
3795100 	 3795984
3796035 	 3796361
3800092 	 3800796
3800786 	 3801463
3801653 	 3803848
3842239 	 3842769
3843036 	 3843734
3843885 	 3844640
3844738 	 3845970
3847165 	 3847701
3883525 	 3884193
3883964 	 3884917
3890830 	 3891156
3891051 	 3892091
3894093 	 3894389
3894426 	 3895607
3926569 	 3930714
3931005 	 3936710
3939617 	 3941761
3941724 	 3944963
3945794 	 3950263
3969343 	 3970563
3970705 	 3972453
3978059 	 3979498
3997980 	 3999638
4031404 	 4033158
4036731 	 4038050
4060648 	 4061889
4061899 	 4062198
4075752 	 4076099
4076484 	 4076984
4076984 	 4077730
4091233 	 4091517
4093632 	 4093946
4093940 	 4094527
4189285 	 4190232
4190284 	 4190517
4196171 	 4196506
4198874 	 4199089
4252993 	 4254327
4276571 	 4278085
4301563 	 4302789
4318775 	 4319266
4350745 	 4351044
4351075 	 4352181
4374484 	 4375683
4375762 	 4375995
