gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Rv0001	CCP42723	CCP42723	P9WNW3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0002	CCP42724	CCP42724	P9WNU1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0003	CCP42725	CCP42725	P9WHI9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0004	CCP42726	CCP42726	P9WFL1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0005	CCP42727	CCP42727	P9WG45	Uniprot/SWISSPROT	NONE	100	100	-
Rv0006	CCP42728	CCP42728	P9WG47	Uniprot/SWISSPROT	NONE	100	100	-
Rv0007	CCP42729	CCP42729	P9WMA7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0008c	CCP42730	CCP42730	P9WJF3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0009	CCP42731	CCP42731	P9WHW3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0010c	CCP42732	CCP42732	P9WMA3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0011c	CCP42733	CCP42733	P9WP57	Uniprot/SWISSPROT	NONE	100	100	-
Rv0012	CCP42734	CCP42734	L0T243	Uniprot/SPTREMBL	NONE	100	100	-
Rv0013	CCP42735	CCP42735	P9WN35	Uniprot/SWISSPROT	NONE	100	100	-
Rv0014c	CCP42736	CCP42736	P9WI81	Uniprot/SWISSPROT	NONE	100	100	-
Rv0015c	CCP42737	CCP42737	P9WI83	Uniprot/SWISSPROT	NONE	100	100	-
Rv0016c	CCP42738	CCP42738	P9WKD1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0017c	CCP42739	CCP42739	P9WN99	Uniprot/SWISSPROT	NONE	100	100	-
Rv0018c	CCP42740	CCP42740	P9WHW5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0019c	CCP42741	CCP42741	P9WJB5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0020c	CCP42742	CCP42742	P71590	Uniprot/SWISSPROT	NONE	100	100	-
Rv0021c	CCP42743	CCP42743	P71591	Uniprot/SPTREMBL	NONE	100	100	-
Rv0022c	CCP42744	CCP42744	P71592	Uniprot/SWISSPROT	NONE	100	100	-
Rv0023	CCP42745	CCP42745	P9WMI3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0024	CCP42746	CCP42746	P71594	Uniprot/SPTREMBL	NONE	100	100	-
Rv0025	CCP42747	CCP42747	P9WMA1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0026	CCP42748	CCP42748	P9WMB1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0027	CCP42749	CCP42749	P9WM99	Uniprot/SWISSPROT	NONE	100	100	-
Rv0028	CCP42750	CCP42750	P9WM97	Uniprot/SWISSPROT	NONE	100	100	-
Rv0029	CCP42751	CCP42751	P71599	Uniprot/SPTREMBL	NONE	100	100	-
Rv0030	CCP42752	CCP42752	P9WM95	Uniprot/SWISSPROT	NONE	100	100	-
Rv0031	CCP42753	CCP42753	P71601	Uniprot/SPTREMBL	NONE	100	100	-
Rv0032	CCP42754	CCP42754	P9WQ85	Uniprot/SWISSPROT	NONE	100	100	-
Rv0033	CCP42755	CCP42755	I6WX95	Uniprot/SPTREMBL	NONE	100	100	-
Rv0034	CCP42756	CCP42756	P9WM93	Uniprot/SWISSPROT	NONE	100	100	-
Rv0035	CCP42757	CCP42757	L7N699	Uniprot/SPTREMBL	NONE	100	100	-
Rv0036c	CCP42758	CCP42758	P9WM91	Uniprot/SWISSPROT	NONE	100	100	-
Rv0037c	CCP42759	CCP42759	P9WJY1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0038	CCP42760	CCP42760	P9WFK5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0039c	CCP42761	CCP42761	P9WM89	Uniprot/SWISSPROT	NONE	100	100	-
Rv0040c	CCP42762	CCP42762	P9WIM9	Uniprot/SWISSPROT	NONE	100	100	-
